marketplace,customer_id,review_id,product_id,product_parent,product_title,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,year,review_date,product_category
US,45662660,R2424MK0YF60DH,BT00CTP84S,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),5,0,0,N,Y,Easiest and most convenient experience ever!,"I had three graduates and a bride to get gifts for.  I thought the best thing was gift cards.  I hopped on Amazon and found that they don't charge any fees for their gift cards, they don't expire and they get delivered FREE the very NEXT day!!!!  They even come inside a nice card and have an envelope.  So perfect!<br /><br />You cannot find service like this anywhere else.  I was even able to pay with my Discover Card points, simple and easy.<br /><br />Thank you Amazon for being a true stand up company.  You have a customer for life!!!",2012,2012-06-07,Gift Card
US,48337268,R2ZKW0XDFNKCIB,B004LLIKVU,473048287,Amazon.com eGift Cards,5,0,0,N,Y,Gift Cards Rock,"What a great way to give a last minute gift.  I printed this off on my computer and included it in a card.  Will use Amazon again when I can't think of something that someone would like, the recipient has lots of choices with a gift card.",2012,2012-06-07,Gift Card
US,40892729,R1WQ736I3JW7JV,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),5,0,0,N,Y,mother's day gift card,I received this card from my son.  It was easy to use and allowed me to get what I wanted.,2012,2012-06-07,Gift Card
US,46868983,R14CIF2YY8Y8AW,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),4,0,0,N,N,Amazon Gift card,"Took me a little while to figure how to use it on what I wanted to use it on.  Had originally wanted to purchase books for my Kindle.  But was never able to link the Amazon account with the Kindle account.  So simply purchased audiobooks as I have to drive a distance to work everyday.  Once I made that decision, the card was easy to use.",2012,2012-06-07,Gift Card
US,46536369,RXGAM1GN9DBLR,BT00DDC7BK,802996579,Amazon.com Gift Cards - Print at Home,4,0,0,N,N,On-line gift card,The on-line gift card was quick and easy.  My search by author found a book easily and the download was as effortless as could be expected.,2012,2012-06-07,Gift Card
US,48659236,R1JUL7NXH6D2HX,B004LLILM8,759249391,Amazon eGift Card - Happy Mother's Day (Butterflies),4,0,0,N,Y,"Worked as described, after I got there to assist","Had complications that were probably rare. Nonetheless, it did eventually work. Might not be the best Mothers Day gift unless your mother is technically savvy enough to find and use the credit without fear of losing it. My mother is actually quite adept at most computer stuff but she had two Amazon accounts (one got set up when she got her kindle) which complicated matters.",2012,2012-06-07,Gift Card
US,34728905,R1KP9E660CXSKP,B004KNWWTK,901939794,Amazon Gift Card - Print - Happy Birthday (Airplanes),5,0,0,N,Y,gift cards are fast and easy,"I needed a birthday gift right away. There is no waiting for this gift card to arrive in the mail. I just purchased it, printed it and in minutes it was ready to be given. Great product!",2012,2012-06-07,Gift Card
US,37941918,R2PM06DXATB2SL,B005EISPLE,834631817,Amazon Gift Card - Print - Birthday Party (Color-In),5,0,0,N,Y,e gift card,"this was a Quick and Easy process, that let the kids be a little part of the gift too.  Cool idea",2012,2012-06-07,Gift Card
US,44081461,RMZPZWSGQLGB7,BT00CTP93I,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),5,2,2,N,Y,Kindle Gift card,I ordered the Kindle Gift card last minute for a retirement gift.<br />The gift card was promised delivery the next afternoon. True to its word<br />the card was delivered on time for the party! I was amazed! Thank you!,2012,2012-06-07,Gift Card
US,40710548,R3H9NHMZ5VVEKI,B005S28ZES,675799499,Amazon.com Gift Card in a Black Gift Box (Various Card Designs),5,0,0,N,N,Perfect gift,All my relatives know that I LOVE Amazon gift cards for my Kindle !!  The perfect gift for someone that reads alot !!,2012,2012-06-07,Gift Card
US,38957613,R3697O2TLIPTRT,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),4,0,0,N,N,Gift Card is very convenient,Received an amazon gift card. hey what more can you ask with the world of shopping at your finger tips.  I picked out exactly what I wanted and made the purchase easily.,2012,2012-06-07,Gift Card
US,26641741,R26N1P9BEKBKJT,B004KNWX4O,553844272,Amazon Gift Card - Print - Happy Mother's Day (Butterflies),5,0,0,N,N,gift card,Convenient shopping online for a gift card.  It was handy to print the card and be able to send it out right away.,2012,2012-06-07,Gift Card
US,13882399,R2X6NS84UMCZ3,BT00DDVMVQ,20546152,Amazon eGift Card - Smile,5,0,0,N,Y,Gift Card,"Always good to give Amazon gift cards so the recipient can buy something they really want, expecially for a graduate or for Father's Day!",2012,2012-06-07,Gift Card
US,12472248,R2M5MCY9U8D0FS,BT00DDC7BK,802996579,Amazon.com Gift Cards - Print at Home,5,0,0,N,Y,Amazon Gift Card.,I think the Amazon Gift Card is the most fantastic present anyone can give or receive. It is so easy to redeem and gives the person receiving it the oopportunity to select ones own books. I have loved getting the gift card for birthday presents.,2012,2012-06-07,Gift Card
US,52552247,R1T7TB0UK2OVIY,BT00DC6QU4,473048287,Amazon.com eGift Cards,5,0,0,N,N,Gift card,Nice to receive and easy to use  sent as a gift for answering an online survey. It helped to upgrade a planned purchase. I would give amazon gift cards in the future.,2012,2012-06-07,Gift Card
US,29662528,R303S3MIJ2S9AR,BT00CTOUNS,775486538,Amazon.com Gift Card in a Greeting Card (Various Designs),5,0,0,N,N,Gift of shopping,"I love gift cards, and the amazon one is no exception.  Super easy to upload and use! I highly recommend this. Especially for the person your not sure what to get.",2012,2012-06-07,Gift Card
US,19182434,R32ZHJ20CUBPKP,B004KNWWMW,647374203,Amazon Gift Card - Print - Happy Birthday (Balloons),5,0,0,N,Y,Easy Gift Card purchase,I got invited last minute to my nephews b-day party.... he had a Kindle Fire.... I can`t believe how easy the gift card was to buy for him !<br />Now he can pick out his own things !!! I highly suggest this and you can pick out all kinds of designs for the gift card !!!!,2012,2012-06-06,Gift Card
US,39835683,R2TSE9JQH6HXQ,BT00DDC7BK,802996579,Amazon.com Gift Cards - Print at Home,5,0,0,N,N,very happy customer,"The gift card was very easy to activate and I can enjoy even more kindle books, I hope to buy a Kindle Fire soon.",2012,2012-06-06,Gift Card
